datetime,count,newuser,crudetot,userFoCount,previousCount
"Sat, 28 Apr 2012 15:12:00 +0000",36012,audreywatters,45378,10582,27127
"Sat, 28 Apr 2012 15:31:13 +0000",36131,suifaijohnmak,45740,362,36012
"Sat, 28 Apr 2012 15:44:42 +0000",36201,rosemary20,45884,144,36131
"Sat, 28 Apr 2012 15:48:32 +0000",36264,Prinsp,46017,133,36201
"Sat, 28 Apr 2012 15:51:33 +0000",36568,Bill_world,46557,540,36264
"Sat, 28 Apr 2012 16:03:12 +0000",36798,injenuity,47112,555,36568
"Sat, 28 Apr 2012 16:35:02 +0000",36800,holonMC,47115,3,36798
"Sat, 28 Apr 2012 17:39:09 +0000",37681,georgekroner,48516,1401,36800
"Sat, 28 Apr 2012 18:04:40 +0000",39879,busynessgirl,51762,3246,37681
"Sat, 28 Apr 2012 21:24:51 +0000",40222,mark_mcguire,52300,538,39879
"Sat, 28 Apr 2012 22:07:58 +0000",40296,MikeAtkisson,52428,128,40222
"Sat, 28 Apr 2012 22:14:35 +0000",54374,cahlan,66632,14204,40296
"Sun, 29 Apr 2012 02:00:01 +0000",54746,dougclow,67434,802,54374
"Sun, 29 Apr 2012 02:41:04 +0000",54773,cab938,67482,48,54746
"Sun, 29 Apr 2012 03:14:02 +0000",54891,_dmlong,67627,145,54773
"Sun, 29 Apr 2012 04:12:08 +0000",55045,HDrachsler,67944,317,54891
"Sun, 29 Apr 2012 05:38:11 +0000",55173,cyrijones,68096,152,55045
"Sun, 29 Apr 2012 12:45:00 +0000",55598,dkernohan,69008,912,55173
"Sun, 29 Apr 2012 13:45:27 +0000",55757,JDoove,69238,230,55598
"Sun, 29 Apr 2012 14:58:46 +0000",55810,anabelquanhaase,69334,96,55757
"Sun, 29 Apr 2012 16:25:46 +0000",57089,glassbeed,71707,2373,55810
"Sun, 29 Apr 2012 16:30:05 +0000",57094,gary_williams,71716,9,57089
"Sun, 29 Apr 2012 16:36:57 +0000",57526,Angie_Wass,72478,762,57094
"Sun, 29 Apr 2012 17:02:28 +0000",57637,mbbrown,72747,269,57526
"Sun, 29 Apr 2012 17:06:31 +0000",57826,jminguillona,73043,296,57637
"Sun, 29 Apr 2012 17:23:06 +0000",57874,jondron,73286,243,57826
"Sun, 29 Apr 2012 17:39:46 +0000",58299,RadHertz,74064,778,57874
"Sun, 29 Apr 2012 17:40:17 +0000",59602,AnaCristinaPrts,76066,2002,58299
"Sun, 29 Apr 2012 17:41:23 +0000",60520,fredgarnett,77588,1522,59602
"Sun, 29 Apr 2012 17:46:04 +0000",60571,bhudd,77676,88,60520
"Sun, 29 Apr 2012 17:47:06 +0000",60714,dgasevic,77928,252,60571
"Sun, 29 Apr 2012 17:51:22 +0000",60859,mrmaurizi,78132,204,60714
"Sun, 29 Apr 2012 17:51:48 +0000",60939,elearning4,78332,200,60859
"Sun, 29 Apr 2012 18:03:03 +0000",60986,osotosmps,78393,61,60939
"Sun, 29 Apr 2012 18:03:34 +0000",61251,DolorsCapdet,78846,453,60986
"Sun, 29 Apr 2012 18:10:00 +0000",63553,psychemedia,82612,3766,61251
"Sun, 29 Apr 2012 18:14:53 +0000",63778,EfrenR,82942,330,63553
"Sun, 29 Apr 2012 18:27:02 +0000",64034,SAlexander_UTS,83325,383,63778
"Sun, 29 Apr 2012 18:59:51 +0000",64131,J1Mturner,83479,154,64034
"Sun, 29 Apr 2012 19:10:23 +0000",64268,philiplbell,83670,191,64131
"Sun, 29 Apr 2012 19:11:36 +0000",64425,louisegault,83884,214,64268
"Sun, 29 Apr 2012 19:37:47 +0000",64452,_Juhy,83914,30,64425
"Sun, 29 Apr 2012 19:42:59 +0000",65193,mhawksey,85470,1556,64452
"Sun, 29 Apr 2012 19:58:35 +0000",65206,kaz_takagi,85491,21,65193
"Sun, 29 Apr 2012 20:11:59 +0000",65300,blacktimelord,85648,157,65206
"Sun, 29 Apr 2012 20:31:34 +0000",65372,raojeda,85780,132,65300
"Sun, 29 Apr 2012 20:35:15 +0000",65560,JoshBaron,86103,323,65372
"Sun, 29 Apr 2012 20:41:54 +0000",69116,SoniaBertocchi,89907,3804,65560
"Sun, 29 Apr 2012 20:42:54 +0000",70232,DataDiva,91668,1761,69116
"Sun, 29 Apr 2012 20:50:22 +0000",70380,theavanos,91925,257,70232
"Sun, 29 Apr 2012 20:56:16 +0000",70774,danidominguez,92443,518,70380
"Sun, 29 Apr 2012 20:58:32 +0000",70980,dmichelej,92816,373,70774
"Sun, 29 Apr 2012 21:38:31 +0000",72226,mediendidaktik,94614,1798,70980
"Sun, 29 Apr 2012 22:33:06 +0000",74519,JennaPrice,97090,2476,72226
"Sun, 29 Apr 2012 22:48:47 +0000",74818,aneesha,97526,436,74519
"Sun, 29 Apr 2012 22:56:10 +0000",74937,ifrank,97725,199,74818
"Mon, 30 Apr 2012 00:37:16 +0000",75309,aduckworth,98432,707,74937
"Mon, 30 Apr 2012 00:42:14 +0000",75406,ajackl,98550,118,75309
"Mon, 30 Apr 2012 02:31:30 +0000",78626,geoparadigm,102087,3537,75406
"Mon, 30 Apr 2012 03:30:55 +0000",80771,TonySearl,106025,3938,78626
"Mon, 30 Apr 2012 04:16:28 +0000",81118,DwightCrouse,106440,415,80771
"Mon, 30 Apr 2012 05:52:08 +0000",81266,pauldhobson,106665,225,81118
"Mon, 30 Apr 2012 09:11:35 +0000",81332,dwrgi,106785,120,81266
"Mon, 30 Apr 2012 12:32:24 +0000",81633,kimberlyarnold,107346,561,81332
"Mon, 30 Apr 2012 13:22:59 +0000",81633,rethink55,107347,1,81633
"Mon, 30 Apr 2012 13:26:22 +0000",81666,LProbus,107389,42,81633
"Mon, 30 Apr 2012 14:16:43 +0000",81706,neginm,107459,70,81666
"Mon, 30 Apr 2012 14:22:38 +0000",81733,tobold,107505,46,81706
"Mon, 30 Apr 2012 14:25:18 +0000",81743,jalarusson,107518,13,81733
"Mon, 30 Apr 2012 14:30:16 +0000",81869,helinur,107758,240,81743
"Mon, 30 Apr 2012 15:00:00 +0000",82140,axfelix,108115,357,81869
"Mon, 30 Apr 2012 15:23:08 +0000",82541,zanytomato,108581,466,82140
"Mon, 30 Apr 2012 15:39:10 +0000",82644,cjmcrawford,108729,148,82541
"Mon, 30 Apr 2012 15:42:27 +0000",82670,bmuramatsu,108845,116,82644
"Mon, 30 Apr 2012 15:50:38 +0000",85598,tacomacc,112020,3175,82670
"Mon, 30 Apr 2012 15:55:13 +0000",85645,stevelonn,112140,120,85598
"Mon, 30 Apr 2012 15:56:22 +0000",85883,Shouldice,112441,301,85645
"Mon, 30 Apr 2012 15:56:36 +0000",85886,RS_Luciano,112447,6,85883
"Mon, 30 Apr 2012 15:58:54 +0000",85947,marianne99,112617,170,85886
"Mon, 30 Apr 2012 16:08:46 +0000",86009,normandaoust,112761,144,85947
"Mon, 30 Apr 2012 16:16:13 +0000",86060,spklingler,112819,58,86009
"Mon, 30 Apr 2012 16:18:28 +0000",86937,eHealthStrategy,113775,956,86060
"Mon, 30 Apr 2012 16:25:25 +0000",87077,ruthdeakincrick,113989,214,86937
"Mon, 30 Apr 2012 16:27:13 +0000",88148,languages_web2,115391,1402,87077
"Mon, 30 Apr 2012 16:30:01 +0000",88805,kerryjor,116299,908,88148
"Mon, 30 Apr 2012 16:31:51 +0000",89107,Tatiawa,116746,447,88805
"Mon, 30 Apr 2012 16:33:53 +0000",89244,EDUCAUSEeditor,117058,312,89107
"Mon, 30 Apr 2012 16:34:23 +0000",89499,LisaMLane,117868,810,89244
"Mon, 30 Apr 2012 16:36:13 +0000",89507,ARCIPROJECT,117907,39,89499
"Mon, 30 Apr 2012 16:37:53 +0000",89614,Charles_edu,118058,151,89507
"Mon, 30 Apr 2012 16:39:53 +0000",90757,ErikDuval,119898,1840,89614
"Mon, 30 Apr 2012 16:43:51 +0000",90850,jlongland,120139,241,90757
"Mon, 30 Apr 2012 16:50:23 +0000",91502,robertobalaguer,120968,829,90850
"Mon, 30 Apr 2012 16:57:40 +0000",91621,JenniSwenson,121229,261,91502
"Mon, 30 Apr 2012 17:01:47 +0000",91642,bkieslinger,121281,52,91621
"Mon, 30 Apr 2012 17:02:29 +0000",102446,courosa,139732,18451,91642
"Mon, 30 Apr 2012 17:24:21 +0000",102451,SharonSlade,139750,18,102446
"Mon, 30 Apr 2012 17:49:07 +0000",102567,smaedli,139947,197,102451
"Mon, 30 Apr 2012 17:57:18 +0000",104545,Gephi,142372,2425,102567
"Mon, 30 Apr 2012 17:57:55 +0000",104626,mylesdanson,142645,273,104545
"Mon, 30 Apr 2012 18:00:32 +0000",104874,llanfair602,142901,256,104626
"Mon, 30 Apr 2012 18:05:55 +0000",104988,FreakyFreeman,143030,129,104874
"Mon, 30 Apr 2012 18:12:38 +0000",107630,markdeuze,146104,3074,104988
"Mon, 30 Apr 2012 18:32:49 +0000",108477,lukejduncan,146970,866,107630
"Mon, 30 Apr 2012 18:39:28 +0000",108610,aribadernatal,147236,266,108477
"Mon, 30 Apr 2012 18:55:27 +0000",108741,kerstinsailer,147399,163,108610
"Mon, 30 Apr 2012 18:56:30 +0000",109493,tametime,148207,808,108741
"Mon, 30 Apr 2012 18:59:18 +0000",109606,dcbphd,148436,229,109493
"Mon, 30 Apr 2012 19:03:23 +0000",110212,Man_Gat,149042,606,109606
"Mon, 30 Apr 2012 19:06:28 +0000",110274,anishrs,149106,64,110212
"Mon, 30 Apr 2012 19:11:03 +0000",110334,toshiukii,149172,66,110274
"Mon, 30 Apr 2012 19:50:20 +0000",110352,Sandhu93,149195,23,110334
"Mon, 30 Apr 2012 20:02:10 +0000",110377,dbuhn,149221,26,110352
"Mon, 30 Apr 2012 20:42:36 +0000",110421,jgaston,149283,62,110377
"Mon, 30 Apr 2012 20:44:06 +0000",110450,jerudrome,149314,31,110421
"Mon, 30 Apr 2012 20:44:35 +0000",110503,alywise,149448,134,110450
"Mon, 30 Apr 2012 20:44:35 +0000",110517,kbelfer,149471,23,110503
"Mon, 30 Apr 2012 20:44:36 +0000",110522,ariadne4444,149502,31,110517
"Mon, 30 Apr 2012 20:44:36 +0000",116419,marcusmccurdy,155421,5919,110522
"Mon, 30 Apr 2012 20:44:37 +0000",118891,evilcyprien,157980,2559,116419
"Mon, 30 Apr 2012 20:44:43 +0000",119056,JerryBuchko,158183,203,118891
"Mon, 30 Apr 2012 20:46:38 +0000",119076,pennysinclair,158210,27,119056
"Mon, 30 Apr 2012 20:50:19 +0000",119227,darlingbec,158471,261,119076
"Mon, 30 Apr 2012 20:53:51 +0000",119332,JavierGiese,158599,128,119227
"Mon, 30 Apr 2012 20:55:32 +0000",119766,bleuguy,159286,687,119332
"Mon, 30 Apr 2012 20:58:58 +0000",119809,PhilChatterton,159422,136,119766
"Mon, 30 Apr 2012 20:59:00 +0000",119828,roughbounds,159469,47,119809
"Mon, 30 Apr 2012 21:03:30 +0000",119871,gg108,159538,69,119828
"Mon, 30 Apr 2012 21:21:20 +0000",119894,johncwhitmer,159582,44,119871
"Mon, 30 Apr 2012 21:34:07 +0000",120021,edcocp,159799,217,119894
"Mon, 30 Apr 2012 22:57:08 +0000",120079,mrtnschn,159858,59,120021
"Mon, 30 Apr 2012 23:20:46 +0000",121724,cindykane,161920,2062,120079
"Mon, 30 Apr 2012 23:22:19 +0000",121760,dan_suthers,162006,86,121724
"Mon, 30 Apr 2012 23:24:50 +0000",121968,BenjaminHarwood,162498,492,121760
"Mon, 30 Apr 2012 23:43:04 +0000",122498,LouRinaldi,163107,609,121968
"Mon, 30 Apr 2012 23:48:40 +0000",122591,MaryAdams711,163227,120,122498
"Mon, 30 Apr 2012 23:49:44 +0000",122852,connectedcampus,163618,391,122591
"Tue, 01 May 2012 00:03:37 +0000",122978,jbohrer,163902,284,122852
"Tue, 01 May 2012 00:09:34 +0000",123681,tom4cam,165125,1223,122978
"Tue, 01 May 2012 00:18:52 +0000",123797,reubentozman,165450,325,123681
"Tue, 01 May 2012 00:19:04 +0000",124437,johnpmayer,166205,755,123797
"Tue, 01 May 2012 00:29:08 +0000",124482,garywchan,166257,52,124437
"Tue, 01 May 2012 01:04:33 +0000",126119,WestinBayshore,167948,1691,124482
"Tue, 01 May 2012 01:05:53 +0000",126213,johnmcauley,168064,116,126119
"Tue, 01 May 2012 01:34:31 +0000",126253,wmono,168138,74,126213
"Tue, 01 May 2012 01:36:15 +0000",126541,cpltalk,168477,339,126253
"Tue, 01 May 2012 02:05:40 +0000",126655,MurthySudarshan,168614,137,126541
"Tue, 01 May 2012 02:24:25 +0000",126751,christienbok,168798,184,126655
"Tue, 01 May 2012 04:04:29 +0000",126859,lexlimo,168932,134,126751
"Tue, 01 May 2012 05:41:25 +0000",127591,wfvanvalkenburg,169986,1054,126859
"Tue, 01 May 2012 06:56:01 +0000",127635,gillferrell,170192,206,127591
"Tue, 01 May 2012 06:59:02 +0000",127668,danien,170233,41,127635
"Tue, 01 May 2012 07:07:44 +0000",127793,joenicholls,170496,263,127668
"Tue, 01 May 2012 07:21:05 +0000",129891,professorkim,172862,2366,127793
"Tue, 01 May 2012 08:46:37 +0000",129925,sidejackable,172932,70,129891
"Tue, 01 May 2012 09:00:12 +0000",131009,SURF_NL,174345,1413,129925
"Tue, 01 May 2012 09:02:50 +0000",131069,joshuau,174496,151,131009
"Tue, 01 May 2012 09:14:32 +0000",131252,arjanmoree,174693,197,131069
"Tue, 01 May 2012 10:26:27 +0000",133511,nancyrubin,179700,5007,131252
"Tue, 01 May 2012 12:30:27 +0000",133774,matthiasick,180058,358,133511
"Tue, 01 May 2012 13:23:54 +0000",133830,marijveugelers,180243,185,133774
"Tue, 01 May 2012 13:48:18 +0000",133879,glagolista,180308,65,133830
"Tue, 01 May 2012 14:11:56 +0000",134658,vanPopta,181383,1075,133879
